incident_id,direct_loss_usd,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,total_loss_usd,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,notes,created_at,updated_at
2021-0508-001,12600000.0,disclosed,13802654.69,,,9455354.49,2496545.93,90695.25,6756288.97,24642595.67,calculated,15348190.29,43746576.16,29237902.75,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1211-001,7640471.18,disclosed,,,,5857150.47,1809188.41,,2691027.33,15306810.06,disclosed,10206030.81,18906338.07,15306810.06,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0115-001,34881599.59,calculated,,,,26404111.95,10330703.43,,31759649.99,71616414.97,disclosed,60854299.98,105151963.28,75564575.92,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0315-001,4682151.47,disclosed,,,,3642946.48,1029035.85,,1772460.33,9354133.8,disclosed,7648967.81,14525208.78,11098475.91,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1204-001,2684607.92,estimated,,,,2574871.33,206822.23,,,5466301.48,estimated,3519806.28,6755823.15,6485647.58,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0617-001,3735953.8,disclosed,,,,2340266.6,1286207.88,,,7362428.28,disclosed,5604329.75,8756559.72,7362428.28,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0821-001,1700929.83,disclosed,,,,607575.94,313791.9,,,2622297.67,estimated,1869701.79,3393272.44,2622297.67,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0603-001,1200000.0,disclosed,,,,726046.15,223259.61,,781019.03,2149305.76,disclosed,1646963.5,2994618.4,2195817.48,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0213-001,4864706.42,estimated,,,,1593635.93,1332119.72,,2496437.92,7790462.07,calculated,5394998.39,12613049.29,9243213.48,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0529-001,34926502.77,estimated,816664.33,252583.06,insurance claim record,30382641.61,7305976.36,2181266.22,,75048970.02,disclosed,57139339.65,93510896.07,75048970.02,CPI-U 2025 (321.5),Insurance claim partially denied; payout reflects negotiated settlement at 52% of claim,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1020-001,3798042.96,estimated,50000,28164.97,congressional testimony,3845502.4,1116455.37,,,8788165.7,estimated,6896017.98,14021688.74,10426967.09,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0818-001,33032603.33,calculated,,,,21055688.46,1930962.57,,,56019254.36,disclosed,42714130.84,93238302.11,56019254.36,CPI-U 2025 (321.5),"Loss methodology: Monte Carlo simulation with 10,000 iterations (95th percentile)",2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0626-001,2600000.0,calculated,,,,2805967.97,388901.26,50000,,5844869.23,calculated,4814181.33,8190526.89,5844869.23,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1214-001,4758332.84,estimated,,,,1803463.66,1211370.56,,2516272.49,7773167.06,calculated,4790095.81,11678494.69,8201696.12,CPI-U 2023 (304.702),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0810-001,36626897.89,calculated,2937382.61,1055021.6,congressional testimony,24374587.93,6814919.29,,24265447.12,68871426.71,disclosed,49319554.53,94431346.62,68871426.71,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1201-001,6859602.15,estimated,,,,7259803.24,1564794.58,,6194056.42,15684199.97,disclosed,11617774.15,22878231.79,15684199.97,CPI-U 2025 (321.5),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0312-001,256050.66,estimated,,,,302688.88,75666.36,,,634405.9,estimated,426709.76,848175.14,752708.78,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0512-001,666313.76,calculated,416057.78,,,221686.5,200467.8,,570903.24,1088468.06,disclosed,890445.97,1456537.38,1148474.51,CPI-U 2023 (304.702),Customer notification costs include credit monitoring for 3K affected individuals,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0227-001,4706515.66,calculated,,,,4392126.68,674412.56,,,9773054.9,disclosed,6584687.61,15143412.5,10736318.02,CPI-U 2022 (292.655),Insurance claim partially denied; payout reflects negotiated settlement at 57% of claim,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1210-001,8234612.8,calculated,,,,8657373.3,2279784.05,,9768917.73,19171770.15,disclosed,13535883.37,26773946.5,19586653.86,CPI-U 2024 (314.69),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
