incident_id,stock_ticker,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,p_value_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,market_cap_at_disclosure,volume_ratio_disclosure,pre_incident_volatility_30d,post_incident_volatility_30d,days_to_price_recovery,notes,created_at,updated_at
2023-0115-001,BITW,262.07,251.95,245.11,250.34,246.87,19782288,48767234,S&P 500 Information Technology,0.018777,-0.027129,-0.00638,-0.020181,-0.030706,-0.00638,-0.020181,0.001584,-1.9908,1.0,-1.0058,1.0,True,118198823773.06,2.4652,0.027705,0.052161,255,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0315-001,SFM,9.37,9.09,8.73,8.78,8.67,458826,1421143,S&P 500 Consumer Discretionary,0.002086,-0.03953,-0.033979,-0.045737,-0.04001,-0.033979,-0.045737,-0.007916,-5.5269,0.0002,-2.0352,0.9824,False,648911379.54,3.0973,0.017116,0.027638,324,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1204-001,SQI,14.6,13.36,13.09,13.28,13.17,230932,354433,S&P 500 Information Technology,-0.014242,-0.020519,-0.005761,-0.01427,-0.02192,-0.005761,-0.01427,-0.001911,-1.7253,1.0,-1.3419,1.0,False,4735163815.54,1.5348,0.038209,0.045756,19,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0213-001,STUT.DE,5.34,5.43,5.27,5.36,5.37,2521343,6491913,S&P 500 Consumer Discretionary,-0.006342,-0.029562,-0.012044,-0.010566,-0.027836,-0.012044,-0.010566,-0.008723,-1.6203,1.0,-0.5624,1.0,False,2984412393.86,2.5748,0.02798,0.030972,24,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0529-001,BAZA,465.19,441.08,410.45,428.36,429.49,1235984,3250371,S&P 500 Consumer Discretionary,-0.017191,-0.069433,-0.028831,-0.02627,-0.057521,-0.028831,-0.02627,-0.040106,-3.2345,0.38275,-3.2225,0.38875,False,219429554460.57,2.6298,0.025212,0.038232,313,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1020-001,NAKA.VI,78.24,74.41,69.57,67.42,70.13,199294,364234,S&P 500 Industrials,-0.016142,-0.065007,-0.093977,-0.057573,-0.06425,-0.093977,-0.057573,-0.010557,-4.0121,0.0002,-10.3365,0.0002,False,23710490060.29,1.8276,0.02313,0.033996,151,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0818-001,MAR1.TO,474.38,435.67,396.35,415.04,409.84,1201465,3700376,S&P 500 Consumer Discretionary,0.021834,-0.090252,-0.047341,-0.059287,-0.098151,-0.047341,-0.059287,-0.055955,-5.0588,0.0002,-2.1588,0.9206,False,565405877461.17,3.0799,0.015619,0.026574,298,Concurrent dividend announcement partially offset negative price reaction,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0626-001,VECT.AX,14.27,14.24,13.86,14.15,14.2,343496,881166,S&P 500 Information Technology,-0.003939,-0.026375,-0.006312,-0.002686,-0.030196,-0.006312,-0.002686,-0.019773,-1.4498,1.0,-0.1844,1.0,True,7204249515.63,2.5653,0.018237,0.036146,8,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-1214-001,BORD.PA,255.42,251.79,243.09,244.9,254.03,1498948,5260039,S&P 500 Financials,-0.018686,-0.034562,-0.027363,0.00891,-0.037183,-0.027363,0.00891,-0.010062,-4.4273,0.0002,0.1802,1.0,False,108959470452.3,3.5092,0.025771,0.046188,57,Elevated options activity detected 5 days before public disclosure,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0810-001,FSO,732.51,714.15,695.04,685.36,686.65,465360,1856750,S&P 500 Consumer Discretionary,0.00248,-0.026753,-0.040311,-0.038507,-0.027647,-0.040311,-0.038507,-0.035353,-1.392,1.0,-1.5855,1.0,True,479375712261.15,3.9899,0.017222,0.027986,54,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1201-001,WRB,8.99,9.26,9.29,9.33,9.38,1561913,2543400,S&P 500 Financials,0.028603,0.003605,0.00768,0.012503,0.00375,0.00768,0.012503,0.017186,0.1918,1.0,0.5896,1.0,False,2101767096.58,1.6284,0.017266,0.02789,,Analyst downgrade issued 30 days after disclosure; may amplify CAR,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0227-001,HARB.L,20.04,20.17,19.61,20.0,20.19,1498625,3477250,S&P 500 Consumer Discretionary,0.005274,-0.027774,-0.008369,0.000772,-0.029445,-0.008369,0.000772,-0.01149,-2.1189,0.94055,0.0423,1.0,False,7336682108.12,2.3203,0.034261,0.051669,37,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-1210-001,COLE.SW,64.2,61.67,57.47,57.37,59.03,77481,202698,S&P 500 Industrials,-0.007967,-0.068067,-0.069748,-0.042848,-0.077325,-0.069748,-0.042848,-0.049226,-3.5981,0.20095,-1.5156,1.0,False,45018205506.22,2.6161,0.032632,0.058687,101,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2022-0219-001,FBT.TA,350.55,358.94,345.65,352.19,358.71,1019823,2939735,S&P 500 Financials,0.019177,-0.037029,-0.018818,-0.00063,-0.036574,-0.018818,-0.00063,0.003164,-2.5052,0.7474,-0.0632,1.0,False,210499393661.11,2.8826,0.017393,0.020283,22,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0718-001,VVT.NS,97.63,91.89,90.99,90.79,90.95,6239618,24455606,S&P 500 Information Technology,-0.004043,-0.009839,-0.012,-0.010211,-0.011718,-0.012,-0.010211,-0.014181,-0.6125,1.0,-0.8124,1.0,False,63509722451.51,3.9194,0.015994,0.031949,16,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
